N!DIST!MUTUAL_INFO
20!Normal(mu: -5882.362606560162,sigma: 6393.131389792866)!0.0041892
20!Normal(mu: -5882.362606560162,sigma: 6393.131389792866)!0.0041892
20!Beta(alpha: 1060.9752374563889,beta: 1494.9671006522087)!6.36037411
20!Uniform(lower: -9418.620100571507,upper: 1820.1760498050314)!0.00094723
20!Uniform(lower: -9418.620100571507,upper: 1820.1760498050314)!0.00094723
20!Uniform(lower: -9418.620100571507,upper: 1820.1760498050314)!0.00094723
20!Uniform(lower: -994.967073496538,upper: 9278.069012366981)!0.00086263
20!Uniform(lower: -994.967073496538,upper: 9278.069012366981)!0.00086263
20!Normal(mu: 4489.504543440451,sigma: 9099.163603428724)!0.01516298
20!Exponential(lam:2403.3373499735017)!8.90107849
20!Normal(mu: 8656.564827744702,sigma: 1045.1156365528216)!0.00549757
20!Normal(mu: 8656.564827744702,sigma: 1045.1156365528216)!0.00549757
20!Normal(mu: 8656.564827744702,sigma: 1045.1156365528216)!0.00549757
20!Normal(mu: 8656.564827744702,sigma: 1045.1156365528216)!0.00549757
20!Exponential(lam:0.1)![0.2140072]
20!Cauchy(alpha: 0.1,beta: 0.1)![1.69250055]
20!Cauchy(alpha: 2854.509585297184,beta: 9355.728538991516)![0.0088667]
20!Exponential(lam:0.1)![0.2140072]
